"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 29 08:33:00 UTC 2026","Thu Jan 29 08:33:06 UTC 2026","5926","","","","","","[QA] Verify the product header and image count of product Samsung SyncMaster 941BW",""
"passed","Thu Jan 29 08:33:35 UTC 2026","Thu Jan 29 08:33:39 UTC 2026","4742","","","","","","[QA] Verify Cretae an account successfully for : 'Testing'",""
"passed","Thu Jan 29 08:33:29 UTC 2026","Thu Jan 29 08:33:34 UTC 2026","5584","","","","","","[QA] Navigate to Cart Page :Samsung SyncMaster 941BW",""
"passed","Thu Jan 29 08:33:44 UTC 2026","Thu Jan 29 08:33:48 UTC 2026","3847","","","","","","[QA] Verify the total no.of products in search results page",""
"passed","Thu Jan 29 08:32:42 UTC 2026","Thu Jan 29 08:32:48 UTC 2026","6053","","","","","","[QA] Verify product search",""
"passed","Thu Jan 29 08:33:51 UTC 2026","Thu Jan 29 08:33:55 UTC 2026","3684","","","","","","[QA] Verify the srp for search key Samsung",""
"passed","Thu Jan 29 08:32:42 UTC 2026","Thu Jan 29 08:32:48 UTC 2026","5679","","","","","","[QA] Successfull login",""
"passed","Thu Jan 29 08:33:23 UTC 2026","Thu Jan 29 08:33:29 UTC 2026","5637","","","","","","[QA] Navigate to Cart Page :MacBook",""
"passed","Thu Jan 29 08:33:12 UTC 2026","Thu Jan 29 08:33:17 UTC 2026","5550","","","","","","[QA] Add product to cart :MacBook",""
"passed","Thu Jan 29 08:33:39 UTC 2026","Thu Jan 29 08:33:44 UTC 2026","4352","","","","","","[QA] Verify Cretae an account successfully for : 'Test'",""
"passed","Thu Jan 29 08:32:55 UTC 2026","Thu Jan 29 08:33:00 UTC 2026","5112","","","","","","[QA] Verify the product header and image count",""
"broken","Thu Jan 29 08:33:02 UTC 2026","Thu Jan 29 08:33:56 UTC 2026","53144","","","","","","[QA] Verify the product details of product MacBook",""
"passed","Thu Jan 29 08:33:57 UTC 2026","Thu Jan 29 08:34:01 UTC 2026","3896","","","","","","[QA] Verify the srp for search key Dini",""
"passed","Thu Jan 29 08:33:17 UTC 2026","Thu Jan 29 08:33:23 UTC 2026","6099","","","","","","[QA] Add product to cart :Samsung SyncMaster 941BW",""
"passed","Thu Jan 29 08:33:06 UTC 2026","Thu Jan 29 08:33:12 UTC 2026","5597","","","","","","[QA] Verify the product details of product Samsung SyncMaster 941BW",""
"passed","Thu Jan 29 08:33:55 UTC 2026","Thu Jan 29 08:33:59 UTC 2026","3816","","","","","","[QA] Verify the srp for search key iMac",""
"passed","Thu Jan 29 08:32:58 UTC 2026","Thu Jan 29 08:33:02 UTC 2026","4933","","","","","","[QA] Verify the product header and image count of product MacBook",""
"passed","Thu Jan 29 08:32:55 UTC 2026","Thu Jan 29 08:32:58 UTC 2026","3006","","","","","","[QA] Invalid Login",""
"passed","Thu Jan 29 08:33:48 UTC 2026","Thu Jan 29 08:33:51 UTC 2026","3570","","","","","","[QA] Verify the srp for search key Macbook",""
